id,category,campaign_stage,tip,why_it_works,region,confidence,evidence,source,source_url,source_date
rc-001,strategy,plan,"Define one primary success metric for the campaign before you open it, like quality of hire at 90 days, not just speed.",Single-metric clarity prevents the team optimising for the wrong outcome and aligns hiring manager and recruiter.,global,high,"89% of organisations rank quality of hire as critical, only 25% feel confident measuring it",StaffingHub,https://staffinghub.com/state-of-staffing/why-quality-of-hire-is-the-metric-that-matters-most-in-2025/,2025-04
rc-002,strategy,plan,"Run a 30 minute intake with the hiring manager before writing the ad, and capture must-haves, scorecard and target start date.",Structured intake makes teams three times more likely to cut time-to-hire and twice as likely to improve quality of hire.,global,high,Misalignment forces 41% more mid-search requisition changes and adds 38% to time-to-fill,Recruiterflow,https://recruiterflow.com/blog/intake-meeting/,2024-07
rc-003,strategy,plan,"Cap each recruiter at five to seven active roles, then add a sixth only if you cut a stale one.",Workload above this range correlates with sharply lower close rates in mid-market hiring teams.,global,medium,Drop from 7 to 5.8 reqs per recruiter lifted close rate from 42% to 79% in two quarters,SelectSoftwareReviews,https://www.selectsoftwarereviews.com/blog/recruiter-capacity-model,2024-06
rc-004,strategy,plan,"Pick four to six channels for the campaign, not all of them. Too many channels create noise and dilute spend.",Most successful recruiters use 4 to 6 active channels matched to role type and seniority.,global,high,4 to 6 channels is the sweet spot across sourcing studies,Manatal,https://www.manatal.com/blog/top-10-recruitment-channels,2024-09
rc-005,strategy,plan,Set a 48 hour service-level for first response to every applicant before the campaign goes live.,"Only 19% of candidates hear back inside 24 hours today, so a 48 hour standard is a real differentiator.",global,high,3 to 5 day average first contact lag drives ghosting,HR Dive,https://www.hrdive.com/news/job-candidates-want-faster-response-times-from-recruiters-ghosting/635448/,2023-08
rc-006,strategy,plan,Plan the AU campaign sprint to fall in late January to March or mid-July to September when job-search traffic peaks.,"SEEK traffic spikes after summer and at the start of the second half, lifting application volumes.",AU,medium,Seasonal SEEK job-ad and search patterns,SEEK,https://talent.seek.com.au/market-insights/article/seek-employment-dashboard-april-2025,2025-05
rc-007,strategy,plan,Check the internal team before posting externally and ask if anyone could move sideways or up into the role.,Internal moves fill in 10 to 15 days vs 42 days for external hires and improve retention.,global,high,Companies with strong internal mobility see 2x increase in retention,Phenom,https://www.phenom.com/blog/what-is-talent-marketplace,2024-05
rc-008,strategy,plan,"Decide on one or two concrete proof points for the EVP before writing copy, then anchor every channel to them.",Activated EVPs lift engagement by 23% and cut turnover by 24%.,global,high,Deloitte EVP measurement data,Deloitte,https://www.deloitte.com/uk/en/services/consulting/blogs/2025/employee-value-proposition-creating-a-human-centred-and-experience-driven-organisation.html,2025-04
rc-009,strategy,plan,Write the rejection email and the offer email on day one so the team is not improvising under pressure later.,Prepared touchpoints lift candidate NPS and prevent ghosting at decision time.,global,medium,61% of job seekers have been ghosted after an interview,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-010,strategy,plan,"Set a stop date for the campaign, not just a start date. Roles that drift past 60 days lose hiring manager attention.",Aged requisitions distort capacity planning and erode candidate quality.,global,medium,Stage-aging is a top dashboard signal,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-011,employer_brand,attract,"Publish one short employee video per campaign showing a real day in the role, filmed on a phone, not a production set.",Employee-shared content gets eight times the engagement of brand-channel content.,global,high,8x engagement uplift for employee posts,Sprout Social,https://sproutsocial.com/insights/employee-influencers/,2024-06
rc-012,employer_brand,attract,Name the hiring manager in the ad and link to their LinkedIn. Faceless ads convert worse than ones with a person attached.,"Personal attribution builds trust and lifts apply rates, especially with Gen Z.",global,medium,Gen Z candidates trust employee voice over brand voice,HR Brew,https://www.hr-brew.com/stories/2025/09/23/hr-recruitment-marketing-tiktok,2025-09
rc-013,employer_brand,attract,"Cut buzzwords like world-class, dynamic and rockstar from the ad. Concrete nouns and verbs outperform vague positives.",Generic praise reads as low-signal and reduces perceived credibility.,global,medium,53% of hires report ads differed significantly from reality,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-014,employer_brand,attract,"Pick two EVP themes and repeat them everywhere, like flexibility and growth, rather than listing ten.",Repetition across surfaces is what makes an EVP land internally and externally.,global,medium,75% of HR leaders find internal EVP comms challenging,Gartner,https://www.symphonytalent.com/blog/gartner-reimiaginehr-top-trends-shaping-talent-strategies-in-2025/,2024-11
rc-015,employer_brand,attract,Ask three current employees for one sentence each on why they stay. Use those quotes in the ad and on the careers page.,First-person staff quotes outperform generic culture copy and read as authentic.,global,medium,Employee voice drives trust in candidate decision making,HR Brew,https://www.hr-brew.com/stories/2025/09/23/hr-recruitment-marketing-tiktok,2025-09
rc-016,employer_brand,attract,"Show the team. Use a photo of the actual team the hire will work with, not stock photography.",Real photos outperform stock on every recruitment marketing benchmark for trust and click-through.,global,medium,Authentic visuals lift career-site conversion,Jobful,https://jobful.io/resources/post/career-site-optimization-conversion-playbook,2025-06
rc-017,employer_brand,attract,Add one video testimonial on the careers page from someone in a similar role.,Video on a landing page can lift conversion by up to 80%.,global,medium,On-page video conversion boost,Hashmeta,https://hashmeta.com/blog/how-to-use-video-testimonials-to-boost-conversions-a-performance-based-guide/,2024-08
rc-018,employer_brand,attract,"Address the workload question in the ad. If the role is busy, say so honestly and explain the support around it.","Excessive workload is the top reason AU employees leave, so candidates screen for it.",AU,high,26% of AU employee departures cite excessive workload,AHRI,https://www.ahri.com.au/resources/hr-research/ahri-quarterly-australian-work-outlook-march-2025,2025-04
rc-019,employer_brand,attract,"Mention flexibility specifics, not just the word flexible. Spell out the hybrid pattern, hours and trust model.","65% of companies highlight flexibility as a core EVP element, so specifics are the differentiator.",global,medium,Flexibility specificity drives candidate interest,LumApps,https://www.lumapps.com/insights/blog/employee-value-proposition-key-strategies-for-2025,2025-02
rc-020,employer_brand,attract,Run a single recurring employee content series instead of a one-off campaign film.,Consistent micro-content compounds; one-off films decay within weeks.,global,medium,Short-form video outperforms longer formats for completion and shares,Wonderkind,https://www.wonderkind.com/blog/how-to-use-video-to-hire-on-tiktok-youtube-snapchat,2025-01
rc-021,job_ad,attract,Keep the job description between 200 and 400 words. Apply rates peak in this range.,Apply rates run 8 to 8.5% in this band and drop below 5% for ads over 700 words.,global,high,Appcast analysis of 10.2 billion clicks,Appcast,https://www.appcast.io/how-to-write-a-job-ad-that-converts/,2024-03
rc-022,job_ad,attract,"Use a short, searchable job title between one and four words. Avoid clever titles like Coding Ninja.",Titles of one to three words generate more clicks; long titles rank poorly in search.,global,high,1-3 word titles average 3.41 clicks vs 2.75 for 13+ words,Appcast,https://www.appcast.io/how-to-write-a-job-ad-that-converts/,2024-03
rc-023,job_ad,attract,"Lead the ad with the outcome the person will own in the first 90 days, not with company history.",Outcome-led copy converts better and signals you have a clear plan for the role.,global,medium,Candidates rate concrete role detail above company puffery,Indeed,https://www.indeed.com/hire/c/info/how-to-improve-your-job-postings-to-attract-better-candidates,2024-02
rc-024,job_ad,attract,List four to six must-have requirements only. Move the rest to a clearly labelled nice-to-have list.,Clear must-have framing lifts application rates from under-represented candidates.,global,high,Clear must-have labelling shifts gender ratio of applicants,Behavioural Insights Team,https://www.bi.team/wp-content/uploads/2022/03/Gender-differences-in-response-to-requirements-in-job-adverts-March-2022.pdf,2022-03
rc-025,job_ad,attract,Show the salary band in the ad. Candidates self-select faster and trust the employer more.,Candidates rank pay among the most important pieces of ad information; visible pay reduces wasted applications.,global,high,Almost one in four job seekers say pay is the most important ad detail,Indeed,https://www.indeed.com/hire/c/info/how-to-improve-your-job-postings-to-attract-better-candidates,2024-02
rc-026,job_ad,attract,"Replace masculine-coded words like competitive, dominate and aggressive with synonymous neutral words.",Removing gender-coded terms increases applications from women without losing male applicants.,global,high,29 to 40% application uplift across studies,PNAS,https://www.pnas.org/doi/10.1073/pnas.2409854122,2024-12
rc-027,job_ad,attract,Drop degree requirements unless the role legally needs one. Replace with the underlying skills.,Skills-first job ads expand candidate pools by up to six times.,global,high,Skills-based hiring expands pools 6x overall,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-028,job_ad,attract,"Include three concrete benefits that matter to the role, not a list of every perk.","Specific, relevant benefits outperform exhaustive perk lists for click-to-apply rates.",global,medium,Targeted benefits framing lifts ad performance,Indeed,https://www.indeed.com/hire/resources/howtohub/optimize-jobs-from-your-career-site-or-ats-on-indeed,2024-04
