ID,Priority,Section,Action,Owner,Effort,External spend,Success criteria,Doubt impact,Status,Ship date,Notes
A1,P0,Pricing consolidation,"REFINED (Bianca): Subscription tiers are already on Solo $89 / Business $249 + Enterprise stack. This item now covers the one-off marketplace ladder revision. New ladder: Letter of Offer $49, Termination $99, Employment Contract $129, First & Final Warning $59, Position Description $49, PIP $69, Casual Conversion $49, Resignation Acceptance $39, Probation Outcome $59, Reference Check $39. Add Employment Pack $349, Award Pack $599 launch.",Dev + Copy,2 days,$0,One pricing model in one file (lib/pricing-config.ts); all env-var SKU prices updated; landing page reflects new ladder.,Kills Doubt #3 + funds currency/audit stack,Config done - Stripe pending,,"Refined by Bianca §1.2 | 2026-07-14: revised ladder applied in lib/pricing-config.ts + Employment Pack $349 / Award Pack $599; marketing copy cascaded (/offer -> $49, generic anchor -> $39). FOUNDER: recreate the 10 Stripe one-off prices + 2 pack products. Subscription-tier wording (Solo $89/Business $249) is SUPERSEDED by approved C10 (People $59/$179, Recruit standalone $65, Business bundle $89/$269)."
A2,P0,Pricing consolidation,Update Stripe Price IDs to match the new one-off ladder. Retire old $25-$79 SKUs and re-create at the revised prices. Add new SKUs for Employment Pack $349 and Award Pack $599.,Dev,1 day,$0,Stripe dashboard shows the new SKUs as active; old $25-$79 SKUs deactivated.,Kills Doubt #3,Config done - Stripe pending,,"Refined | 2026-07-14: revised ladder applied in lib/pricing-config.ts + Employment Pack $349 / Award Pack $599; marketing copy cascaded (/offer -> $49, generic anchor -> $39). FOUNDER: recreate the 10 Stripe one-off prices + 2 pack products. Subscription-tier wording (Solo $89/Business $249) is SUPERSEDED by approved C10 (People $59/$179, Recruit standalone $65, Business bundle $89/$269)."
A3,P0,Pricing consolidation,"Rewrite the pricing page to the current + refined model: Solo $89, Business $249 (most popular), Enterprise stack tease, Foundation 100 at $189/mo locked, and the new one-off ladder ($39-$599 across 12 SKUs).",Dev + Copy,2 days,$0,/pricing renders cleanly on desktop + mobile; no dead SKU references.,Kills Doubt #3,Config done - Stripe pending,,"2026-07-14: revised ladder applied in lib/pricing-config.ts + Employment Pack $349 / Award Pack $599; marketing copy cascaded (/offer -> $49, generic anchor -> $39). FOUNDER: recreate the 10 Stripe one-off prices + 2 pack products. Subscription-tier wording (Solo $89/Business $249) is SUPERSEDED by approved C10 (People $59/$179, Recruit standalone $65, Business bundle $89/$269)."
A4,P0,Security,"Enable Supabase RLS. Run supabase/rls_prescreen.sql + write policies for businesses, documents, knowledge_chunks, credit ledger. Verify with a cross-tenant read test.",Dev,2 days,$0,RLS on for every table; automated test proves user A cannot read user B's docs.,Kills half of Doubt #4 - ELEVATED to non-negotiable pre-launch,Done,,Elevated by Bianca §7.3 | 2026-07-14: shipped this session.
A5,P0,Payments,"Fix Stripe checkout flow. Wire subscription checkout end-to-end for Solo, Business, Foundation 100 lock, Enterprise stack, and every one-off SKU. Webhook activates the plan on checkout.session.completed.",Dev,3 days,$0,End-to-end test purchases work; webhook activates plan; failed webhooks retry.,Kills half of Doubt #4 - ELEVATED to non-negotiable pre-launch,Done,,Elevated by Bianca §7.3 | 2026-07-14: shipped this session.
A6,P0,Marketplace,REFINED (Bianca): Ship the marketplace Letter of Offer at $49 (not $25) as a no-signup Stripe one-off SKU at /marketplace/letter-of-offer. Editor mounts on /offer/success.,Dev,2 days,$0,"Cold prospect can pay $49, edit, download DOCX in under 5 minutes without an account.",Load-bearing for micro band + Doubt #1,Not started,,Refined by Bianca §1.2 - was $25
A7,P0,Trust,"Publish the AU AI Accuracy Standard page at humanistiqs.ai/ai-standard. Covers citation-grounded architecture, deny-list, escalation triggers, human-review layer, no-legal-advice disclaimer, AND (new per Bianca) the published weekly/monthly/quarterly/annual currency cadence.",Founder + Copy,1 day,$0,Page live; linked in footer + AI Advisor UI; currency cadence table published as public commitment.,Kills part of Doubt #2,Not started,,Refined - now includes cadence per B6
A8,P0,Mission,Rewrite mission statement to make 'no matter the size' defensible. Public wording stays; internal wording adds four-band accountability.,Founder,0.5 day,$0,About page updated; internal doc committed to repo.,Reframes Doubt #1,Not started,,
A9,P0,Code hygiene,Delete legacy Recruit components. Fix all TypeScript errors so next.config.js ignoreBuildErrors can be flipped to false.,Dev,1 day,$0,next build passes without ignoreBuildErrors.,Kills quarter of Doubt #4 - ELEVATED to non-negotiable pre-launch,Done,,Elevated by Bianca §7.3 | 2026-07-14: shipped this session.
A10,P0,Compute margin,"NEW (from Bianca §4): Ship the 3-tier model router (Haiku for simple chat, Sonnet for cited RAG, Opus for complex reasoning). Currently every call hits Sonnet - this is the Tome unit-econ risk. Router reduces variable API cost per active user from ~$6-8/mo to ~$2.72/mo.",Dev,3 days,$0,lib/router.ts routes by intent; wired into app/api/chat/route.ts + document generation.,Kills variable-cost tail risk (Doubt #4 unit-econ),Done,,New - carved out of B7 per Bianca §4.5 | 2026-07-14: shipped this session.
E1,P0,Ownership + IP,"NEW (Bianca): Founder IP assignment deed from James Rayner personally to Rayner Consulting Group Pty Ltd covering the HQ.ai codebase, 33 templates, prompt architecture, retrieval corpus, brand marks, and all future-created IP. Include moral rights consent. Executed alongside source-code escrow with defined triggers (founder unavailable >60 days, insolvency, material change of control).",Founder + startup lawyer,1 week lead,"$1,500-$4,000 legal + $2,000-$4,000 escrow setup + $500-$1,500/yr ongoing",IP deed executed and filed; escrow agreement live; triggers documented.,Bus-factor risk mitigation - Bianca's core ownership question,Not started,,New - Bianca §2.1-2.2
E2,P0,Ownership + IP,"NEW (Bianca): Delegate hosting, key-vault, and repo access to a second named principal (Bianca or ops lawyer). Covers Vercel, Supabase, Cloudflare, Anthropic, Voyage, Cohere, OpenAI, Resend, Stripe, GitHub, domain registrar, Google Workspace. Written runbook at hqai/docs/ops/runbook.md.",Founder,2 founder-days,$0,Second principal has verified access to every account; runbook committed; dry-run of key rotation performed.,Bus-factor - Bianca's 'what if James unavailable' question,Not started,,New - Bianca §2.1
E5,P0,Change management,NEW (Bianca): Publish /roadmap and /changelog before commercial launch. Three-column roadmap (Shipped / In progress / Next). Monthly public changelog email. Weekly 30-min founder + co-owner review.,Founder + Dev + Copy,3 days,$0,Both pages live; first weekly review completed; first monthly changelog scheduled.,Retention lever + trust signal per Bianca §5,Done,,New - Bianca §5 | 2026-07-14: shipped this session.
